feature,classe_12,classe_14,classe_7,classe_8,classe_9,classe_NotHP
LTV,1.0,1.0,1.0,1.0,1.0,0.4130458479170166
RFM_Score,4.27436406035647,1.0,4.30515057166223,0.9641769073596617,1.0,0.004592775361632842
Eta,1.0,1.0,1.0,1.0,1.0,5.169199886699685
GrandCentr,1.0,1.0,0.35756851379728166,171.42047759609923,1.0,0.584566226579596
Professione_Impiegato,1.0,1.0,0.5708024788875721,0.158598955270335,352.78464506219143,1.0
Professione_Tassista,1.0,1.0,1.0,1.0,1.0,2.152141861189146
LifeCycle_Lavoratore,1.0,1.0,1.0,1.0,1.0,0.616851713914056
LifeCycle_Prossimo alla Pensione,1.0,1.0,1.0,1.0,1.0,1.4671139187515754
ultimoPDTAcquistato_Bici Elettrica,25.28951957020182,1.0,1.0,1.0,1.0,5.056876026399242
ultimoPDTAcquistato_DisposotivoMonitoraggio,1.0,52.024157563420154,1.0,1.0,1.0,1.0
ultimoPDTAcquistato_altro,1.0,1.0,1.0,1.0,1.0,31.97521819576498
ultimoPDTAcquistato_guantini ,1.0,1.0,1.0,1.0,1.0,0.805116803581124
PDTCategTotalSpending_Digitale,1.0,52.024157563420154,1.0,1.0,1.0,1.0
PDTCategTotalSpending_Mobility,25.28951957020182,1.0,1.0,1.0,1.0,5.056876026399242
PDTCategTotalSpending_Protezione,1.0,1.0,1.0,2.9263392028751634,3.387603367152394,0.9795643421186115
PDTCategTotalSpending_altro,1.0,1.0,1.0,1.0,1.0,31.97521819576498
